LebwohlLasher6.py: Size: 50, Steps: 50, T*: 0.500: Order: 0.389, Time: 0.761191 s
         12028564 function calls (11355259 primitive calls) in 4.340 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     3895    0.012    0.000    0.035    0.000 utils.py:316(order_by_target_specificity)
    37007    0.023    0.000    0.035    0.000 _utils.py:24(deduplicate)
1744/1678    0.005    0.000    0.035    0.000 inspect.py:2428(_signature_from_callable)
     4178    0.001    0.000    0.035    0.000 values.py:507(__hash__)
     1469    0.002    0.000    0.034    0.000 lowering.py:1465(storevar)
       42    0.000    0.000    0.034    0.001 arrayobj.py:185(populate_array)
      793    0.000    0.000    0.034    0.000 <frozen importlib._bootstrap_external>:1496(find_spec)
  794/793    0.001    0.000    0.033    0.000 <frozen importlib._bootstrap_external>:1464(_get_spec)
     1295    0.001    0.000    0.033    0.000 builder.py:875(call)
      275    0.001    0.000    0.033    0.000 templates.py:900(_get_target_registry)
    57188    0.016    0.000    0.033    0.000 event.py:100(__init__)
       44    0.000    0.000    0.033    0.001 arrayobj.py:374(basic_indexing)
      210    0.002    0.000    0.032    0.000 ir.py:111(strformat)
     5732    0.010    0.000    0.032    0.000 context.py:542(_rate_arguments)
      166    0.000    0.000    0.032    0.000 ir.py:601(infer_constant)
68449/57319    0.020    0.000    0.032    0.000 abstract.py:121(__hash__)
20988/18434    0.007    0.000    0.032    0.000 contextlib.py:141(__exit__)
     2089    0.001    0.000    0.032    0.000 values.py:452(_to_string)
        1    0.000    0.000    0.032    0.032 _sketches.py:1(<module>)
     1334    0.001    0.000    0.031    0.000 context.py:263(resolve_getattr)
       59    0.000    0.000    0.031    0.001 lowering.py:357(init)
      666    0.001    0.000    0.031    0.000 base.py:49(_find)
     1190    0.001    0.000    0.031    0.000 targetconfig.py:190(__eq__)
       59    0.003    0.000    0.031    0.001 lowering.py:373(_find_singly_assigned_variable)
        8    0.000    0.000    0.031    0.004 arrayobj.py:1621(fancy_setslice)
     1295    0.005    0.000    0.031    0.000 instructions.py:68(__init__)
      245    0.000    0.000    0.031    0.000 templates.py:1044(__init__)
      600    0.002    0.000    0.031    0.000 context.py:700(load_additional_registries)
     2213    0.001    0.000    0.031    0.000 cgutils.py:929(gep_inbounds)
        2    0.000    0.000    0.030    0.015 _base.py:1(<module>)
        5    0.000    0.000    0.030    0.006 arrayobj.py:4197(_parse_empty_args)
        5    0.000    0.000    0.030    0.006 arrayobj.py:4149(_parse_shape)
       59    0.000    0.000    0.030    0.001 typed_passes.py:881(run_pass)
       51    0.000    0.000    0.030    0.001 imputils.py:192(imp)
      238    0.000    0.000    0.030    0.000 templates.py:1090(_init_once)
13296/13162    0.003    0.000    0.030    0.000 manager.py:29(lookup)
        1    0.000    0.000    0.030    0.030 colors.py:1(<module>)
       21    0.000    0.000    0.030    0.001 arrayobj.py:496(getitem_array_tuple)
    42012    0.006    0.000    0.030    0.000 templates.py:1300(new_registrations)
     2222    0.004    0.000    0.029    0.000 cgutils.py:936(gep)
       59    0.000    0.000    0.029    0.000 typeinfer.py:1036(build_constraint)
     1114    0.005    0.000    0.029    0.000 <frozen importlib._bootstrap_external>:1604(find_spec)
11736/11729    0.003    0.000    0.029    0.000 manager.py:40(__getitem__)
     1718    0.001    0.000    0.029    0.000 typeinfer.py:1384(constrain_statement)
      541    0.000    0.000    0.029    0.000 nrt.py:19(initialize)
        1    0.000    0.000    0.028    0.028 nrtdynmod.py:205(compile_nrt_functions)
       68    0.000    0.000    0.028    0.000 base.py:881(call_internal)
     1466    0.002    0.000    0.028    0.000 typeinfer.py:1453(typeof_assign)
     6494    0.005    0.000    0.028    0.000 instructions.py:660(__init__)
      238    0.000    0.000    0.027    0.000 module.py:167(link_in)
        1    0.000    0.000    0.027    0.027 charseq.py:1(<module>)
      940    0.000    0.000    0.027    0.000 typeinfer.py:1473(resolve_value_type)
