LebwohlLasher9.py: Size: 50, Steps: 50, T*: 0.500: Order: 0.273, Time: 0.754862 s
         1054548 function calls (1039762 primitive calls) in 1.471 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.002    0.002 pickle.py:1(<module>)
        1    0.000    0.000    0.002    0.002 font_manager.py:1533(_load_fontmanager)
   114/57    0.000    0.000    0.002    0.000 core.py:3722(copy)
      683    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1421(_path_importer_cache)
       35    0.000    0.000    0.002    0.000 rcsetup.py:107(<listcomp>)
       14    0.000    0.000    0.002    0.000 core.py:595(set_parse_action)
     2654    0.001    0.000    0.002    0.000 __init__.py:416(_strip_comment)
    30812    0.002    0.000    0.002    0.000 {method 'append' of 'list' objects}
        1    0.000    0.000    0.002    0.002 font_manager.py:965(json_load)
       18    0.000    0.000    0.002    0.000 core.py:262(_trim_arity)
       14    0.000    0.000    0.002    0.000 core.py:675(<listcomp>)
        1    0.000    0.000    0.002    0.002 spines.py:1(<module>)
        1    0.000    0.000    0.002    0.002 __init__.py:274(load)
       29    0.001    0.000    0.002    0.000 __init__.py:350(namedtuple)
        1    0.000    0.000    0.002    0.002 traceback.py:220(extract_stack)
        1    0.000    0.000    0.002    0.002 backend_tools.py:1(<module>)
      438    0.000    0.000    0.002    0.000 colors.py:265(to_rgba)
       28    0.001    0.000    0.002    0.000 util.py:182(_collapse_string_to_ranges)
        1    0.000    0.000    0.002    0.002 traceback.py:375(extract)
        1    0.000    0.000    0.002    0.002 dates.py:1(<module>)
        1    0.000    0.000    0.002    0.002 traceback.py:397(_extract_from_extended_frame_gen)
 1174/385    0.001    0.000    0.002    0.000 _parser.py:174(getwidth)
        1    0.000    0.000    0.002    0.002 version.py:157(Version)
      101    0.000    0.000    0.002    0.000 deprecation.py:128(deprecate)
       35    0.002    0.000    0.002    0.000 {built-in method posix.listdir}
     3114    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:128(<listcomp>)
        1    0.000    0.000    0.001    0.001 npyio.py:1(<module>)
        8    0.000    0.000    0.001    0.000 core.py:2678(__init__)
        1    0.000    0.000    0.001    0.001 _methods.py:1(<module>)
       36    0.000    0.000    0.001    0.000 traceback.py:316(line)
        2    0.000    0.000    0.001    0.001 linecache.py:26(getline)
        2    0.000    0.000    0.001    0.001 linecache.py:36(getlines)
        1    0.000    0.000    0.001    0.001 linecache.py:80(updatecache)
     1324    0.000    0.000    0.001    0.000 __init__.py:163(match)
   114/57    0.000    0.000    0.001    0.000 core.py:3724(<listcomp>)
      346    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:169(__enter__)
       18    0.000    0.000    0.001    0.000 rcsetup.py:629(cycler)
      281    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1146(path_stats)
     55/8    0.000    0.000    0.001    0.000 core.py:3635(leave_whitespace)
      618    0.000    0.000    0.001    0.000 _inspect.py:96(getargspec)
      344    0.000    0.000    0.001    0.000 inspect.py:786(_finddoc)
        1    0.000    0.000    0.001    0.001 parse.py:1(<module>)
        2    0.000    0.000    0.001    0.001 __init__.py:299(loads)
        2    0.000    0.000    0.001    0.001 decoder.py:332(decode)
        1    0.000    0.000    0.001    0.001 datetime.py:1(<module>)
        2    0.000    0.000    0.001    0.001 decoder.py:343(raw_decode)
     6424    0.001    0.000    0.001    0.000 {method 'format' of 'str' objects}
        1    0.000    0.000    0.001    0.001 axes3d.py:42(Axes3D)
    29564    0.001    0.000    0.001    0.000 {built-in method builtins.callable}
     1185    0.000    0.000    0.001    0.000 <frozen abc>:117(__instancecheck__)
        2    0.000    0.000    0.001    0.001 polynomial.py:1(<module>)
      125    0.001    0.000    0.001    0.000 _compiler.py:241(_optimize_charset)
      733    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:179(_get_module_lock)
     5663    0.001    0.000    0.001    0.000 _parser.py:233(__next)
        1    0.000    0.000    0.001    0.001 api.py:1(<module>)
        1    0.000    0.000    0.001    0.001 scimath.py:1(<module>)
      387    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:216(_lock_unlock_module)
        1    0.000    0.000    0.001    0.001 units.py:1(<module>)
 1609/174    0.000    0.000    0.001    0.000 <frozen abc>:121(__subclasscheck__)
       99    0.000    0.000    0.001    0.000 <frozen abc>:105(__new__)
      171    0.000    0.000    0.001    0.000 inspect.py:3040(replace)
        1    0.000    0.000    0.001    0.001 decoder.py:1(<module>)
     1185    0.000    0.000    0.001    0.000 {built-in method _abc._abc_instancecheck}
 1609/174    0.001    0.000    0.001    0.000 {built-in method _abc._abc_subclasscheck}
       51    0.000    0.000    0.001    0.000 <__array_function__ internals>:177(eig)
     4223    0.001    0.000    0.001    0.000 {built-in method builtins.sorted}
       63    0.000    0.000    0.001    0.000 colors.py:1080(reversed)
       20    0.000    0.000    0.001    0.000 core.py:4779(parseImpl)
       55    0.000    0.000    0.001    0.000 core.py:3643(<listcomp>)
       51    0.000    0.000    0.001    0.000 linalg.py:1168(eig)
        1    0.000    0.000    0.001    0.001 layout_engine.py:1(<module>)
      327    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1599(_get_spec)
        1    0.001    0.001    0.001    0.001 {method 'readlines' of '_io._IOBase' objects}
        1    0.000    0.000    0.001    0.001 random.py:1(<module>)
    50/37    0.000    0.000    0.001    0.000 typing.py:479(__getitem__)
        1    0.000    0.000    0.001    0.001 _mathtext.py:1(<module>)
        2    0.000    0.000    0.001    0.000 function_base.py:1(<module>)
       89    0.001    0.000    0.001    0.000 {built-in method posix.getcwd}
        2    0.000    0.000    0.001    0.000 core.py:5684(srange)
      720    0.001    0.000    0.001    0.000 inspect.py:735(unwrap)
