LebwohlLasher4.py: Size: 50, Steps: 50, T*: 0.500: Order: 0.362, Time: 0.547680 s
         9254410 function calls (8756850 primitive calls) in 4.383 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.064    0.064 dispatcher.py:1(<module>)
     2977    0.001    0.000    0.064    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
     3049    0.064    0.000    0.064    0.000 {built-in method posix.stat}
     5947    0.003    0.000    0.063    0.000 module.py:220(__next__)
     1285    0.002    0.000    0.063    0.000 lowering.py:1567(decref)
305839/305474    0.034    0.000    0.063    0.000 {built-in method builtins.getattr}
    16790    0.004    0.000    0.063    0.000 ir.py:598(list_vars)
  470/225    0.000    0.000    0.062    0.000 context.py:153(refresh)
       11    0.000    0.000    0.061    0.006 arrayobj.py:4040(_empty_nd_impl)
     1313    0.000    0.000    0.060    0.000 context.py:384(decref)
     1015    0.000    0.000    0.059    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
     1094    0.000    0.000    0.058    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
        1    0.000    0.000    0.057    0.057 contour.py:1(<module>)
        5    0.000    0.000    0.057    0.011 arrayobj.py:4232(codegen)
    18668    0.013    0.000    0.057    0.000 instructions.py:13(__init__)
        1    0.000    0.000    0.056    0.056 compiler.py:1(<module>)
       47    0.000    0.000    0.055    0.001 untyped_passes.py:224(run_pass)
    24908    0.009    0.000    0.055    0.000 values.py:537(__init__)
        1    0.000    0.000    0.054    0.054 backend_bases.py:1(<module>)
15194/13546    0.004    0.000    0.054    0.000 contextlib.py:132(__enter__)
     6793    0.033    0.000    0.053    0.000 inspect.py:867(cleandoc)
     3321    0.001    0.000    0.052    0.000 targetconfig.py:196(values)
     3321    0.010    0.000    0.051    0.000 targetconfig.py:199(<dictcomp>)
        1    0.000    0.000    0.050    0.050 _sketches.py:1(<module>)
     6764    0.003    0.000    0.049    0.000 inspect.py:848(getdoc)
       47    0.000    0.000    0.048    0.001 untyped_passes.py:1711(run_pass)
        1    0.000    0.000    0.047    0.047 text.py:1(<module>)
     2781    0.006    0.000    0.046    0.000 errors.py:301(_markup)
     1184    0.001    0.000    0.046    0.000 errors.py:508(__init__)
    25813    0.008    0.000    0.045    0.000 values.py:557(_set_name)
       48    0.000    0.000    0.044    0.001 codegen.py:1400(_add_module)
       48    0.000    0.000    0.044    0.001 codegen.py:1094(add_module)
       48    0.000    0.000    0.043    0.001 codegen.py:1087(_load_defined_symbols)
      423    0.001    0.000    0.042    0.000 postproc.py:52(deadmaps)
      691    0.001    0.000    0.042    0.000 <frozen importlib._bootstrap_external>:727(_compile_bytecode)
     3498    0.003    0.000    0.042    0.000 byteflow.py:319(dispatch)
        1    0.000    0.000    0.042    0.042 _axes.py:1(<module>)
        1    0.000    0.000    0.042    0.042 colors.py:1(<module>)
        1    0.000    0.000    0.041    0.041 multiarray.py:1(<module>)
4230/2025    0.004    0.000    0.041    0.000 context.py:428(install_registry)
       96    0.001    0.000    0.040    0.000 codegen.py:1091(<setcomp>)
        1    0.000    0.000    0.040    0.040 overrides.py:1(<module>)
      691    0.040    0.000    0.040    0.000 {built-in method marshal.loads}
     9034    0.004    0.000    0.040    0.000 __init__.py:272(_compile)
      700    0.001    0.000    0.039    0.000 npydecl.py:201(generic)
     3810    0.003    0.000    0.039    0.000 value.py:143(name)
     1241    0.002    0.000    0.039    0.000 context.py:374(resolve_value_type)
  470/225    0.001    0.000    0.039    0.000 context.py:415(_load_builtins)
      726    0.003    0.000    0.038    0.000 npydecl.py:97(generic)
68726/68291    0.014    0.000    0.038    0.000 {method 'join' of 'str' objects}
     2181    0.001    0.000    0.038    0.000 errors.py:316(errmsg)
    25813    0.011    0.000    0.037    0.000 _utils.py:16(register)
       48    0.000    0.000    0.036    0.001 codegen.py:1303(_scan_and_fix_unresolved_refs)
      301    0.002    0.000    0.036    0.000 module.py:11(parse_assembly)
  557/458    0.001    0.000    0.036    0.000 base.py:526(get_function)
        2    0.000    0.000    0.036    0.018 collections.py:1(<module>)
     3576    0.002    0.000    0.035    0.000 module.py:251(_next)
       47    0.001    0.000    0.035    0.001 inline_closurecall.py:80(run)
3105/2764    0.001    0.000    0.035    0.000 ir_utils.py:1520(guard)
      261    0.001    0.000    0.034    0.000 _compiler.py:738(compile)
     2781    0.001    0.000    0.034    0.000 errors.py:224(__init__)
      213    0.000    0.000    0.034    0.000 artist.py:1426(__init__)
     1255    0.002    0.000    0.034    0.000 typeof.py:27(typeof)
      213    0.005    0.000    0.034    0.000 artist.py:1446(get_aliases)
      277    0.001    0.000    0.033    0.000 templates.py:900(_get_target_registry)
     3280    0.003    0.000    0.033    0.000 value.py:206(is_declaration)
     2781    0.002    0.000    0.033    0.000 initialise.py:37(init)
      257    0.001    0.000    0.032    0.000 cgutils.py:99(__init__)
    83851    0.022    0.000    0.032    0.000 targetconfig.py:111(getter)
        2    0.000    0.000    0.032    0.016 _base.py:1(<module>)
      766    0.001    0.000    0.031    0.000 passmanagers.py:742(run)
49967/49642    0.014    0.000    0.031    0.000 _utils.py:54(get_reference)
      245    0.000    0.000    0.031    0.000 templates.py:1044(__init__)
     5562    0.003    0.000    0.031    0.000 initialise.py:111(wrap_stream)
      207    0.000    0.000    0.031    0.000 ir.py:1527(infer_constant)
  314/207    0.000    0.000    0.031    0.000 consts.py:24(infer_constant)
      576    0.000    0.000    0.031    0.000 templates.py:481(apply)
      580    0.001    0.000    0.030    0.000 templates.py:272(_select)
        1    0.000    0.000    0.030    0.030 special.py:1(<module>)
       47    0.000    0.000    0.030    0.001 typed_passes.py:555(run_pass)
     1051    0.001    0.000    0.030    0.000 lowering.py:1465(storevar)
      238    0.000    0.000    0.030    0.000 templates.py:1090(_init_once)
       47    0.000    0.000    0.030    0.001 ir_utils.py:2215(check_and_legalize_ir)
  284/192    0.000    0.000    0.030    0.000 consts.py:56(_do_infer)
119125/116596    0.011    0.000    0.030    0.000 {built-in method builtins.repr}
      580    0.005    0.000    0.030    0.000 context.py:592(resolve_overload)
     5463    0.005    0.000    0.029    0.000 builder.py:967(extract_value)
     1509    0.001    0.000    0.029    0.000 inspect.py:3278(signature)
      470    0.001    0.000    0.029    0.000 context.py:700(load_additional_registries)
      105    0.001    0.000    0.029    0.000 callconv.py:871(call_function)
      141    0.000    0.000    0.029    0.000 postproc.py:158(_insert_var_dels)
    82/69    0.000    0.000    0.029    0.000 <frozen importlib._bootstrap_external>:1239(exec_module)
    82/69    0.014    0.000    0.029    0.000 {built-in method _imp.exec_dynamic}
        4    0.000    0.000    0.029    0.007 context.py:1(<module>)
        1    0.000    0.000    0.029    0.029 charseq.py:1(<module>)
      141    0.008    0.000    0.029    0.000 postproc.py:179(_patch_var_dels)
     1509    0.001    0.000    0.029    0.000 inspect.py:3024(from_callable)
      226    0.000    0.000    0.029    0.000 errors.py:670(__init__)
       47    0.000    0.000    0.028    0.001 interpreter.py:1412(post_process)
        4    0.000    0.000    0.028    0.007 lowering.py:288(create_cpython_wrapper)
        4    0.000    0.000    0.028    0.007 cpu.py:181(create_cpython_wrapper)
1582/1516    0.004    0.000    0.028    0.000 inspect.py:2428(_signature_from_callable)
        1    0.000    0.000    0.028    0.028 cpu.py:1(<module>)
       47    0.000    0.000    0.027    0.001 ssa.py:26(reconstruct_ssa)
    57230    0.020    0.000    0.027    0.000 pprint.py:102(_safe_tuple)
       47    0.000    0.000    0.027    0.001 ssa.py:47(_run_ssa)
    47788    0.013    0.000    0.027    0.000 event.py:100(__init__)
        1    0.000    0.000    0.027    0.027 patches.py:1(<module>)
       35    0.001    0.000    0.027    0.001 callconv.py:122(raise_error)
     5562    0.008    0.000    0.027    0.000 ansitowin32.py:81(__init__)
       47    0.000    0.000    0.027    0.001 lowering.py:29(__init__)
        2    0.000    0.000    0.026    0.013 unicode.py:1(<module>)
     2788    0.009    0.000    0.026    0.000 utils.py:316(order_by_target_specificity)
56691/47769    0.016    0.000    0.026    0.000 abstract.py:121(__hash__)
        2    0.000    0.000    0.026    0.013 builtins.py:1(<module>)
      450    0.000    0.000    0.026    0.000 models.py:708(traverse)
      450    0.001    0.000    0.025    0.000 models.py:715(<listcomp>)
        1    0.000    0.000    0.025    0.025 axes3d.py:1(<module>)
      150    0.001    0.000    0.025    0.000 ir.py:111(strformat)
      979    0.001    0.000    0.025    0.000 context.py:263(resolve_getattr)
     2502    0.001    0.000    0.025    0.000 models.py:684(get_type)
     5792    0.024    0.000    0.025    0.000 models.py:673(get_field_position)
       41    0.000    0.000    0.025    0.001 imputils.py:192(imp)
      774    0.002    0.000    0.024    0.000 cgutils.py:362(alloca_once)
9968/9849    0.003    0.000    0.024    0.000 manager.py:29(lookup)
      736    0.007    0.000    0.024    0.000 numpy_support.py:357(ufunc_find_matching_loop)
       47    0.000    0.000    0.024    0.001 typed_passes.py:881(run_pass)
      114    0.000    0.000    0.024    0.000 ir.py:601(infer_constant)
        1    0.000    0.000    0.024    0.024 Image.py:1(<module>)
8976/8968    0.002    0.000    0.024    0.000 manager.py:40(__getitem__)
      426    0.000    0.000    0.024    0.000 entrypoints.py:23(init_all)
        3    0.000    0.000    0.024    0.008 dispatcher.py:281(_compilation_chain_init_hook)
