LebwohlLasher5.py: Size: 50, Steps: 50, T*: 0.500: Order: 0.348, Time: 0.554908 s
         9357738 function calls (8858687 primitive calls) in 3.573 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
59925/25678    0.015    0.000    0.108    0.000 _utils.py:44(__str__)
      691    0.108    0.000    0.108    0.000 {method 'read' of '_io.BufferedReader' objects}
       89    0.000    0.000    0.106    0.001 values.py:996(descr_body)
     1659    0.001    0.000    0.106    0.000 values.py:1139(descr)
      112    0.000    0.000    0.105    0.001 artist.py:1841(kwdoc)
       96    0.004    0.000    0.103    0.001 registry.py:54(apply)
     1659    0.002    0.000    0.103    0.000 values.py:1141(<listcomp>)
        1    0.000    0.000    0.100    0.100 arrayobj.py:2070(array_reshape_vararg)
        1    0.000    0.000    0.100    0.100 arrayobj.py:2005(array_reshape)
      432    0.000    0.000    0.100    0.000 postproc.py:42(usedefs)
        3    0.000    0.000    0.098    0.033 arrayobj.py:4007(make_array_nditer)
       82    0.000    0.000    0.098    0.001 codegen.py:732(add_llvm_module)
        3    0.000    0.000    0.097    0.032 arrayobj.py:3372(init_specific)
        1    0.000    0.000    0.096    0.096 __init__.py:13(_ensure_critical_deps)
  1335883    0.073    0.000    0.094    0.000 {built-in method builtins.isinstance}
    17807    0.016    0.000    0.094    0.000 values.py:544(_to_string)
    19657    0.008    0.000    0.093    0.000 ffi.py:74(__exit__)
    22765    0.013    0.000    0.092    0.000 event.py:404(end_event)
69918/66598    0.011    0.000    0.090    0.000 {built-in method builtins.next}
        1    0.000    0.000    0.090    0.090 colorbar.py:1(<module>)
      112    0.002    0.000    0.090    0.001 artist.py:1602(pprint_setters)
       82    0.002    0.000    0.089    0.001 codegen.py:651(_optimize_functions)
    19654    0.005    0.000    0.085    0.000 base.py:1246(exit_fn)
    94724    0.036    0.000    0.084    0.000 event.py:243(notify)
      691    0.084    0.000    0.084    0.000 {built-in method io.open_code}
        3    0.000    0.000    0.081    0.027 decorators.py:1(<module>)
        1    0.000    0.000    0.077    0.077 randomimpl.py:365(_impl)
        1    0.000    0.000    0.076    0.076 stencil.py:1(<module>)
    19657    0.008    0.000    0.075    0.000 ffi.py:68(__enter__)
     4050    0.006    0.000    0.075    0.000 artist.py:1474(get_valid_values)
       48    0.000    0.000    0.075    0.002 untyped_passes.py:1711(run_pass)
